iter	Passed	Remaining
951	28903	1457
952	28935	1427
953	28962	1396
954	28993	1366
955	29024	1335
956	29055	1305
957	29089	1275
958	29127	1245
959	29157	1214
960	29186	1184
961	29210	1153
962	29243	1123
963	29271	1093
964	29301	1062
965	29330	1032
966	29364	1002
967	29397	971
968	29424	941
969	29451	910
970	29477	880
971	29506	849
972	29535	819
973	29571	789
974	29599	758
975	29622	728
976	29649	697
977	29675	667
978	29695	636
979	29717	606
980	29744	576
981	29776	545
982	29798	515
983	29825	484
984	29851	454
985	29879	424
986	29901	393
987	29927	363
988	29950	333
989	29977	302
990	30003	272
991	30030	242
992	30065	211
993	30097	181
994	30135	151
995	30169	121
996	30197	90
997	30228	60
998	30254	30
999	30281	0
